Altitude,Callsign,Direction,Position,Speed,Timestamp,UTC,T,Tm
3650,LNI610,35,"-5.8296,107.11618",345,1540769505,2018-10-28Z,23:20,20
4850,LNI610,62,"-5.84418,107.105812",322,1540769495,2018-10-28Z,23:21,21
4900,LNI610,62,"-5.85595,107.095673",322,1540769485,2018-10-28Z,23:21,21
5450,LNI610,66,"-5.87098,107.073036",324,1540769470,2018-10-28Z,23:21,21
5200,LNI610,61,"-5.88765,107.035957",334,1540769440,2018-10-28Z,23:21,21
5200,LNI610,54,"-5.90369,107.011772",318,1540769420,2018-10-28Z,23:22,22
5050,LNI610,57,"-5.9192,106.989983",308,1540769405,2018-10-28Z,23:22,22
4775,LNI610,61,"-5.92552,106.979927",311,1540769395,2018-10-28Z,23:22,22
4550,LNI610,62,"-5.93138,106.969269",310,1540769385,2018-10-28Z,23:22,22
4500,LNI610,62,"-5.93806,106.956589",310,1540769375,2018-10-28Z,23:22,22
4800,LNI610,59,"-5.94566,106.94236",303,1540769365,2018-10-28Z,23:22,22
5075,LNI610,45,"-5.95715,106.927139",293,1540769350,2018-10-28Z,23:23,23
5250,LNI610,46,"-5.9713,106.912788",289,1540769335,2018-10-28Z,23:23,23
5350,LNI610,48,"-5.98553,106.897812",290,1540769320,2018-10-28Z,23:23,23
5100,LNI610,47,"-5.99872,106.883293",301,1540769305,2018-10-28Z,23:23,23
5150,LNI610,45,"-6.01346,106.868057",304,1540769290,2018-10-28Z,23:23,23
5125,LNI610,45,"-6.02884,106.8526",308,1540769275,2018-10-28Z,23:23,23
5375,LNI610,44,"-6.04872,106.832428",305,1540769255,2018-10-28Z,23:24,24
5300,LNI610,41,"-6.0591,106.822441",310,1540769245,2018-10-28Z,23:24,24
5200,LNI610,38,"-6.07004,106.813202",317,1540769235,2018-10-28Z,23:24,24
5175,LNI610,26,"-6.08221,106.804466",318,1540769225,2018-10-28Z,23:24,24
5100,LNI610,8,"-6.10291,106.797073",319,1540769210,2018-10-28Z,23:24,24
5050,LNI610,16,"-6.11771,106.794693",318,1540769200,2018-10-28Z,23:24,24
5150,LNI610,19,"-6.13829,106.788689",307,1540769185,2018-10-28Z,23:24,24
5250,LNI610,22,"-6.16412,106.77877",287,1540769165,2018-10-28Z,23:25,25
5025,LNI610,22,"-6.17651,106.773697",292,1540769155,2018-10-28Z,23:25,25
5225,LNI610,30,"-6.18973,106.768066",294,1540769145,2018-10-28Z,23:25,25
5025,LNI610,36,"-6.20122,106.761436",300,1540769135,2018-10-28Z,23:25,25
5125,LNI610,42,"-6.21244,106.752922",298,1540769125,2018-10-28Z,23:25,25
5125,LNI610,50,"-6.22208,106.743637",301,1540769115,2018-10-28Z,23:25,25
5375,LNI610,52,"-6.23581,106.726501",292,1540769100,2018-10-28Z,23:25,25
5450,LNI610,53,"-6.24348,106.716583",294,1540769090,2018-10-28Z,23:26,26
5350,LNI610,57,"-6.25164,106.70533",289,1540769080,2018-10-28Z,23:26,26
5075,LNI610,63,"-6.25859,106.694099",289,1540769070,2018-10-28Z,23:26,26
4825,LNI610,72,"-6.26395,106.681953",287,1540769060,2018-10-28Z,23:26,26
4250,LNI610,96,"-6.26807,106.649178",280,1540769035,2018-10-28Z,23:26,26
3750,LNI610,101,"-6.2663,106.636192",287,1540769025,2018-10-28Z,23:26,26
3200,LNI610,103,"-6.26351,106.622932",298,1540769015,2018-10-28Z,23:27,27
2650,LNI610,117,"-6.25997,106.609291",309,1540769005,2018-10-28Z,23:27,27
2125,LNI610,135,"-6.25266,106.596931",323,1540768995,2018-10-28Z,23:28,28
1625,LNI610,148,"-6.24163,106.586746",334,1540768985,2018-10-28Z,23:28,28
1475,LNI610,158,"-6.2285,106.579323",327,1540768975,2018-10-28Z,23:28,28
2050,LNI610,193,"-6.19524,106.571808",265,1540768950,2018-10-28Z,23:29,29
1725,LNI610,204,"-6.18335,106.57505",257,1540768940,2018-10-28Z,23:29,29
1725,LNI610,218,"-6.1732,106.580406",245,1540768930,2018-10-28Z,23:29,29
1625,LNI610,237,"-6.16473,106.588272",232,1540768920,2018-10-28Z,23:30,30
1500,LNI610,249,"-6.15956,106.597504",222,1540768910,2018-10-28Z,23:30,30
1200,LNI610,249,"-6.15578,106.607231",217,1540768900,2018-10-28Z,23:30,30
925,LNI610,250,"-6.15234,106.61644",210,1540768890,2018-10-28Z,23:31,31
625,LNI610,250,"-6.14918,106.625351",206,1540768880,2018-10-28Z,23:31,31
350,LNI610,250,"-6.14594,106.634422",197,1540768870,2018-10-28Z,23:31,31
